Date,Day of the Week,Location,Time Group,Vehicle Count,Weather Conditions,Road Type,Congestion Level
1/2/2024,Tuesday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),467,Rainy,Arterial Road,Low
1/2/2024,Tuesday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),202,Rainy,Entry Point,High
1/2/2024,Tuesday,Gabtoli,Midday (10:30 AM – 2:00 PM),485,Rainy,Entry Point,High
1/2/2024,Tuesday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),305,Sunny,Residential Street,Medium
1/2/2024,Tuesday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),190,Rainy,Highway,Medium
1/2/2024,Tuesday,Gabtoli,Night (8:00 PM – 11:00 PM),415,Sunny,Highway,High
1/2/2024,Tuesday,Gabtoli,Late Night (11:00 PM – 5:00 AM),440,Cloudy,Entry Point,High
1/2/2024,Tuesday,Rampura,Early Morning (5:00 AM – 7:30 AM),399,Sunny,Arterial Road,High
1/2/2024,Tuesday,Rampura,Morning Rush (7:30 AM – 10:30 AM),245,Cloudy,Flyover,High
1/2/2024,Tuesday,Rampura,Midday (10:30 AM – 2:00 PM),361,Sunny,Commercial Street,Medium
1/2/2024,Tuesday,Rampura,Afternoon (2:00 PM – 4:30 PM),454,Cloudy,Flyover,Medium
1/2/2024,Tuesday,Rampura,Evening Rush (4:30 PM – 8:00 PM),358,Rainy,Flyover,High
1/2/2024,Tuesday,Rampura,Night (8:00 PM – 11:00 PM),190,Rainy,Flyover,Low
1/2/2024,Tuesday,Rampura,Late Night (11:00 PM – 5:00 AM),219,Rainy,Arterial Road,High
1/2/2024,Tuesday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),209,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),245,Rainy,Flyover,Medium
1/2/2024,Tuesday,Tejgaon,Midday (10:30 AM – 2:00 PM),470,Rainy,Entry Point,Low
1/2/2024,Tuesday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),101,Cloudy,Entry Point,High
1/2/2024,Tuesday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),138,Cloudy,Residential Street,Low
1/2/2024,Tuesday,Tejgaon,Night (8:00 PM – 11:00 PM),362,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Tejgaon,Late Night (11:00 PM – 5:00 AM),351,Sunny,Entry Point,Low
1/2/2024,Tuesday,New Market,Early Morning (5:00 AM – 7:30 AM),291,Sunny,Highway,Low
1/2/2024,Tuesday,New Market,Morning Rush (7:30 AM – 10:30 AM),129,Rainy,Commercial Street,High
1/2/2024,Tuesday,New Market,Midday (10:30 AM – 2:00 PM),200,Rainy,Residential Street,High
1/2/2024,Tuesday,New Market,Afternoon (2:00 PM – 4:30 PM),424,Cloudy,Highway,Medium
1/2/2024,Tuesday,New Market,Evening Rush (4:30 PM – 8:00 PM),307,Cloudy,Residential Street,Low
1/2/2024,Tuesday,New Market,Night (8:00 PM – 11:00 PM),166,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,New Market,Late Night (11:00 PM – 5:00 AM),102,Sunny,Commercial Street,Medium
1/2/2024,Tuesday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),405,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),485,Rainy,Commercial Street,High
1/2/2024,Tuesday,Dhanmondi,Midday (10:30 AM – 2:00 PM),368,Cloudy,Commercial Street,Medium
1/2/2024,Tuesday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),338,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),158,Rainy,Flyover,High
1/2/2024,Tuesday,Dhanmondi,Night (8:00 PM – 11:00 PM),290,Rainy,Residential Street,High
1/2/2024,Tuesday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),221,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Paltan,Early Morning (5:00 AM – 7:30 AM),171,Cloudy,Highway,Medium
1/2/2024,Tuesday,Paltan,Morning Rush (7:30 AM – 10:30 AM),481,Cloudy,Commercial Street,Medium
1/2/2024,Tuesday,Paltan,Midday (10:30 AM – 2:00 PM),477,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Paltan,Afternoon (2:00 PM – 4:30 PM),150,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Paltan,Evening Rush (4:30 PM – 8:00 PM),479,Sunny,Residential Street,High
1/2/2024,Tuesday,Paltan,Night (8:00 PM – 11:00 PM),123,Sunny,Highway,Low
1/2/2024,Tuesday,Paltan,Late Night (11:00 PM – 5:00 AM),462,Sunny,Highway,High
1/2/2024,Tuesday,Malibagh,Early Morning (5:00 AM – 7:30 AM),465,Sunny,Arterial Road,Low
1/2/2024,Tuesday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),365,Sunny,Entry Point,Low
1/2/2024,Tuesday,Malibagh,Midday (10:30 AM – 2:00 PM),169,Cloudy,Highway,High
1/2/2024,Tuesday,Malibagh,Afternoon (2:00 PM – 4:30 PM),254,Rainy,Residential Street,Low
1/2/2024,Tuesday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),276,Cloudy,Arterial Road,Low
1/2/2024,Tuesday,Malibagh,Night (8:00 PM – 11:00 PM),135,Cloudy,Entry Point,Medium
1/2/2024,Tuesday,Malibagh,Late Night (11:00 PM – 5:00 AM),302,Sunny,Flyover,Medium
1/2/2024,Tuesday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),164,Sunny,Entry Point,Low
1/2/2024,Tuesday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),130,Rainy,Entry Point,Low
1/2/2024,Tuesday,Keraniganj,Midday (10:30 AM – 2:00 PM),219,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),409,Sunny,Residential Street,Medium
1/2/2024,Tuesday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),421,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Keraniganj,Night (8:00 PM – 11:00 PM),157,Cloudy,Commercial Street,Low
1/2/2024,Tuesday,Keraniganj,Late Night (11:00 PM – 5:00 AM),477,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Tongi,Early Morning (5:00 AM – 7:30 AM),294,Sunny,Highway,Medium
1/2/2024,Tuesday,Tongi,Morning Rush (7:30 AM – 10:30 AM),346,Sunny,Highway,High
1/2/2024,Tuesday,Tongi,Midday (10:30 AM – 2:00 PM),230,Sunny,Flyover,High
1/2/2024,Tuesday,Tongi,Afternoon (2:00 PM – 4:30 PM),132,Rainy,Commercial Street,High
1/2/2024,Tuesday,Tongi,Evening Rush (4:30 PM – 8:00 PM),111,Rainy,Highway,Medium
1/2/2024,Tuesday,Tongi,Night (8:00 PM – 11:00 PM),227,Sunny,Flyover,High
1/2/2024,Tuesday,Tongi,Late Night (11:00 PM – 5:00 AM),245,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Savar Entry Point,Early Morning (5:00 AM – 7:30 AM),226,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Savar Entry Point,Morning Rush (7:30 AM – 10:30 AM),278,Rainy,Highway,High
1/2/2024,Tuesday,Savar Entry Point,Midday (10:30 AM – 2:00 PM),358,Cloudy,Flyover,High
1/2/2024,Tuesday,Savar Entry Point,Afternoon (2:00 PM – 4:30 PM),440,Rainy,Entry Point,High
1/2/2024,Tuesday,Savar Entry Point,Evening Rush (4:30 PM – 8:00 PM),465,Sunny,Entry Point,Medium
1/2/2024,Tuesday,Savar Entry Point,Night (8:00 PM – 11:00 PM),261,Cloudy,Highway,Medium
1/2/2024,Tuesday,Savar Entry Point,Late Night (11:00 PM – 5:00 AM),462,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Ashulia,Early Morning (5:00 AM – 7:30 AM),339,Cloudy,Highway,High
1/2/2024,Tuesday,Ashulia,Morning Rush (7:30 AM – 10:30 AM),322,Cloudy,Arterial Road,Medium
1/2/2024,Tuesday,Ashulia,Midday (10:30 AM – 2:00 PM),361,Sunny,Arterial Road,High
1/2/2024,Tuesday,Ashulia,Afternoon (2:00 PM – 4:30 PM),377,Cloudy,Commercial Street,High
1/2/2024,Tuesday,Ashulia,Evening Rush (4:30 PM – 8:00 PM),159,Rainy,Arterial Road,Low
1/2/2024,Tuesday,Ashulia,Night (8:00 PM – 11:00 PM),239,Sunny,Arterial Road,Medium
1/2/2024,Tuesday,Ashulia,Late Night (11:00 PM – 5:00 AM),397,Rainy,Commercial Street,Low
1/2/2024,Tuesday,Pragati Sarani,Early Morning (5:00 AM – 7:30 AM),386,Cloudy,Residential Street,Medium
1/2/2024,Tuesday,Pragati Sarani,Morning Rush (7:30 AM – 10:30 AM),463,Sunny,Entry Point,Low
1/2/2024,Tuesday,Pragati Sarani,Midday (10:30 AM – 2:00 PM),110,Sunny,Arterial Road,Low
1/2/2024,Tuesday,Pragati Sarani,Afternoon (2:00 PM – 4:30 PM),142,Cloudy,Flyover,High
1/2/2024,Tuesday,Pragati Sarani,Evening Rush (4:30 PM – 8:00 PM),253,Cloudy,Entry Point,High
1/2/2024,Tuesday,Pragati Sarani,Night (8:00 PM – 11:00 PM),213,Sunny,Residential Street,Medium
1/2/2024,Tuesday,Pragati Sarani,Late Night (11:00 PM – 5:00 AM),460,Cloudy,Flyover,High
1/3/2024,Wednesday,Farmgate,Early Morning (5:00 AM – 7:30 AM),400,Rainy,Arterial Road,Medium
1/3/2024,Wednesday,Farmgate,Morning Rush (7:30 AM – 10:30 AM),370,Cloudy,Commercial Street,High
1/3/2024,Wednesday,Farmgate,Midday (10:30 AM – 2:00 PM),174,Sunny,Highway,Medium
1/3/2024,Wednesday,Farmgate,Afternoon (2:00 PM – 4:30 PM),151,Rainy,Arterial Road,Low
1/3/2024,Wednesday,Farmgate,Evening Rush (4:30 PM – 8:00 PM),498,Rainy,Highway,Low
1/3/2024,Wednesday,Farmgate,Night (8:00 PM – 11:00 PM),276,Sunny,Flyover,Medium
1/3/2024,Wednesday,Farmgate,Late Night (11:00 PM – 5:00 AM),295,Cloudy,Flyover,Medium
1/3/2024,Wednesday,Mohakhali,Early Morning (5:00 AM – 7:30 AM),177,Sunny,Residential Street,Low
1/3/2024,Wednesday,Mohakhali,Morning Rush (7:30 AM – 10:30 AM),419,Cloudy,Residential Street,Low
1/3/2024,Wednesday,Mohakhali,Midday (10:30 AM – 2:00 PM),277,Sunny,Entry Point,Low
1/3/2024,Wednesday,Mohakhali,Afternoon (2:00 PM – 4:30 PM),287,Sunny,Entry Point,Medium
1/3/2024,Wednesday,Mohakhali,Evening Rush (4:30 PM – 8:00 PM),454,Sunny,Highway,High
1/3/2024,Wednesday,Mohakhali,Night (8:00 PM – 11:00 PM),338,Sunny,Commercial Street,Low
1/3/2024,Wednesday,Mohakhali,Late Night (11:00 PM – 5:00 AM),477,Rainy,Highway,High
1/3/2024,Wednesday,Gulshan-2,Early Morning (5:00 AM – 7:30 AM),219,Rainy,Highway,High
1/3/2024,Wednesday,Gulshan-2,Morning Rush (7:30 AM – 10:30 AM),402,Rainy,Entry Point,Low
1/3/2024,Wednesday,Gulshan-2,Midday (10:30 AM – 2:00 PM),250,Sunny,Entry Point,High
1/3/2024,Wednesday,Gulshan-2,Afternoon (2:00 PM – 4:30 PM),128,Sunny,Flyover,Medium
1/3/2024,Wednesday,Gulshan-2,Evening Rush (4:30 PM – 8:00 PM),474,Sunny,Commercial Street,Low
1/3/2024,Wednesday,Gulshan-2,Night (8:00 PM – 11:00 PM),299,Cloudy,Entry Point,High
1/3/2024,Wednesday,Gulshan-2,Late Night (11:00 PM – 5:00 AM),422,Sunny,Highway,High
1/3/2024,Wednesday,Jatrabari,Early Morning (5:00 AM – 7:30 AM),304,Rainy,Entry Point,High
1/3/2024,Wednesday,Jatrabari,Morning Rush (7:30 AM – 10:30 AM),133,Sunny,Flyover,High
1/3/2024,Wednesday,Jatrabari,Midday (10:30 AM – 2:00 PM),285,Rainy,Arterial Road,Low
1/3/2024,Wednesday,Jatrabari,Afternoon (2:00 PM – 4:30 PM),115,Cloudy,Entry Point,Medium
1/3/2024,Wednesday,Jatrabari,Evening Rush (4:30 PM – 8:00 PM),234,Cloudy,Commercial Street,Medium
1/3/2024,Wednesday,Jatrabari,Night (8:00 PM – 11:00 PM),354,Sunny,Flyover,Medium
1/3/2024,Wednesday,Jatrabari,Late Night (11:00 PM – 5:00 AM),280,Sunny,Flyover,Medium
1/3/2024,Wednesday,Uttara Sector 7,Early Morning (5:00 AM – 7:30 AM),264,Cloudy,Flyover,High
1/3/2024,Wednesday,Uttara Sector 7,Morning Rush (7:30 AM – 10:30 AM),187,Rainy,Arterial Road,High
1/3/2024,Wednesday,Uttara Sector 7,Midday (10:30 AM – 2:00 PM),225,Cloudy,Residential Street,Medium
1/3/2024,Wednesday,Uttara Sector 7,Afternoon (2:00 PM – 4:30 PM),257,Cloudy,Commercial Street,Low
1/3/2024,Wednesday,Uttara Sector 7,Evening Rush (4:30 PM – 8:00 PM),162,Cloudy,Entry Point,Medium
1/3/2024,Wednesday,Uttara Sector 7,Night (8:00 PM – 11:00 PM),449,Rainy,Commercial Street,High
1/3/2024,Wednesday,Uttara Sector 7,Late Night (11:00 PM – 5:00 AM),155,Cloudy,Entry Point,Low
1/3/2024,Wednesday,Motijheel,Early Morning (5:00 AM – 7:30 AM),329,Sunny,Entry Point,Low
1/3/2024,Wednesday,Motijheel,Morning Rush (7:30 AM – 10:30 AM),366,Sunny,Residential Street,Low
1/3/2024,Wednesday,Motijheel,Midday (10:30 AM – 2:00 PM),219,Cloudy,Highway,Medium
1/3/2024,Wednesday,Motijheel,Afternoon (2:00 PM – 4:30 PM),202,Rainy,Flyover,Low
1/3/2024,Wednesday,Motijheel,Evening Rush (4:30 PM – 8:00 PM),379,Sunny,Highway,Medium
1/3/2024,Wednesday,Motijheel,Night (8:00 PM – 11:00 PM),247,Rainy,Flyover,High
1/3/2024,Wednesday,Motijheel,Late Night (11:00 PM – 5:00 AM),131,Rainy,Arterial Road,Low
1/3/2024,Wednesday,Shahbagh,Early Morning (5:00 AM – 7:30 AM),181,Rainy,Residential Street,Medium
1/3/2024,Wednesday,Shahbagh,Morning Rush (7:30 AM – 10:30 AM),449,Rainy,Entry Point,Medium
1/3/2024,Wednesday,Shahbagh,Midday (10:30 AM – 2:00 PM),472,Rainy,Highway,Low
1/3/2024,Wednesday,Shahbagh,Afternoon (2:00 PM – 4:30 PM),465,Rainy,Arterial Road,High
1/3/2024,Wednesday,Shahbagh,Evening Rush (4:30 PM – 8:00 PM),125,Sunny,Entry Point,Low
1/3/2024,Wednesday,Shahbagh,Night (8:00 PM – 11:00 PM),153,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,Shahbagh,Late Night (11:00 PM – 5:00 AM),343,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,Mirpur-10,Early Morning (5:00 AM – 7:30 AM),148,Cloudy,Arterial Road,Low
1/3/2024,Wednesday,Mirpur-10,Morning Rush (7:30 AM – 10:30 AM),348,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,Mirpur-10,Midday (10:30 AM – 2:00 PM),407,Cloudy,Arterial Road,Medium
1/3/2024,Wednesday,Mirpur-10,Afternoon (2:00 PM – 4:30 PM),428,Cloudy,Entry Point,Medium
1/3/2024,Wednesday,Mirpur-10,Evening Rush (4:30 PM – 8:00 PM),387,Cloudy,Arterial Road,Low
1/3/2024,Wednesday,Mirpur-10,Night (8:00 PM – 11:00 PM),321,Cloudy,Arterial Road,Medium
1/3/2024,Wednesday,Mirpur-10,Late Night (11:00 PM – 5:00 AM),196,Rainy,Entry Point,Low
1/3/2024,Wednesday,Gabtoli,Early Morning (5:00 AM – 7:30 AM),267,Rainy,Commercial Street,High
1/3/2024,Wednesday,Gabtoli,Morning Rush (7:30 AM – 10:30 AM),116,Cloudy,Commercial Street,High
1/3/2024,Wednesday,Gabtoli,Midday (10:30 AM – 2:00 PM),473,Cloudy,Entry Point,Medium
1/3/2024,Wednesday,Gabtoli,Afternoon (2:00 PM – 4:30 PM),341,Cloudy,Arterial Road,Low
1/3/2024,Wednesday,Gabtoli,Evening Rush (4:30 PM – 8:00 PM),321,Cloudy,Flyover,High
1/3/2024,Wednesday,Gabtoli,Night (8:00 PM – 11:00 PM),454,Rainy,Commercial Street,High
1/3/2024,Wednesday,Gabtoli,Late Night (11:00 PM – 5:00 AM),482,Rainy,Highway,High
1/3/2024,Wednesday,Rampura,Early Morning (5:00 AM – 7:30 AM),444,Rainy,Highway,Medium
1/3/2024,Wednesday,Rampura,Morning Rush (7:30 AM – 10:30 AM),104,Cloudy,Arterial Road,Medium
1/3/2024,Wednesday,Rampura,Midday (10:30 AM – 2:00 PM),174,Cloudy,Entry Point,Low
1/3/2024,Wednesday,Rampura,Afternoon (2:00 PM – 4:30 PM),427,Cloudy,Arterial Road,High
1/3/2024,Wednesday,Rampura,Evening Rush (4:30 PM – 8:00 PM),443,Cloudy,Arterial Road,Medium
1/3/2024,Wednesday,Rampura,Night (8:00 PM – 11:00 PM),178,Cloudy,Highway,Low
1/3/2024,Wednesday,Rampura,Late Night (11:00 PM – 5:00 AM),484,Cloudy,Arterial Road,Medium
1/3/2024,Wednesday,Tejgaon,Early Morning (5:00 AM – 7:30 AM),464,Sunny,Commercial Street,High
1/3/2024,Wednesday,Tejgaon,Morning Rush (7:30 AM – 10:30 AM),491,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,Tejgaon,Midday (10:30 AM – 2:00 PM),424,Sunny,Flyover,High
1/3/2024,Wednesday,Tejgaon,Afternoon (2:00 PM – 4:30 PM),130,Cloudy,Residential Street,High
1/3/2024,Wednesday,Tejgaon,Evening Rush (4:30 PM – 8:00 PM),115,Rainy,Highway,High
1/3/2024,Wednesday,Tejgaon,Night (8:00 PM – 11:00 PM),128,Rainy,Arterial Road,Medium
1/3/2024,Wednesday,Tejgaon,Late Night (11:00 PM – 5:00 AM),405,Rainy,Arterial Road,Low
1/3/2024,Wednesday,New Market,Early Morning (5:00 AM – 7:30 AM),280,Sunny,Highway,Medium
1/3/2024,Wednesday,New Market,Morning Rush (7:30 AM – 10:30 AM),275,Sunny,Residential Street,Low
1/3/2024,Wednesday,New Market,Midday (10:30 AM – 2:00 PM),234,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,New Market,Afternoon (2:00 PM – 4:30 PM),421,Sunny,Entry Point,Low
1/3/2024,Wednesday,New Market,Evening Rush (4:30 PM – 8:00 PM),160,Rainy,Commercial Street,Medium
1/3/2024,Wednesday,New Market,Night (8:00 PM – 11:00 PM),486,Sunny,Residential Street,Low
1/3/2024,Wednesday,New Market,Late Night (11:00 PM – 5:00 AM),369,Sunny,Arterial Road,Low
1/3/2024,Wednesday,Dhanmondi,Early Morning (5:00 AM – 7:30 AM),401,Cloudy,Highway,Low
1/3/2024,Wednesday,Dhanmondi,Morning Rush (7:30 AM – 10:30 AM),160,Rainy,Commercial Street,High
1/3/2024,Wednesday,Dhanmondi,Midday (10:30 AM – 2:00 PM),461,Rainy,Arterial Road,High
1/3/2024,Wednesday,Dhanmondi,Afternoon (2:00 PM – 4:30 PM),230,Rainy,Entry Point,Low
1/3/2024,Wednesday,Dhanmondi,Evening Rush (4:30 PM – 8:00 PM),232,Sunny,Residential Street,Medium
1/3/2024,Wednesday,Dhanmondi,Night (8:00 PM – 11:00 PM),304,Rainy,Arterial Road,Medium
1/3/2024,Wednesday,Dhanmondi,Late Night (11:00 PM – 5:00 AM),234,Cloudy,Residential Street,High
1/3/2024,Wednesday,Paltan,Early Morning (5:00 AM – 7:30 AM),499,Cloudy,Residential Street,High
1/3/2024,Wednesday,Paltan,Morning Rush (7:30 AM – 10:30 AM),469,Rainy,Entry Point,High
1/3/2024,Wednesday,Paltan,Midday (10:30 AM – 2:00 PM),288,Cloudy,Arterial Road,Low
1/3/2024,Wednesday,Paltan,Afternoon (2:00 PM – 4:30 PM),130,Sunny,Commercial Street,Low
1/3/2024,Wednesday,Paltan,Evening Rush (4:30 PM – 8:00 PM),323,Cloudy,Commercial Street,Medium
1/3/2024,Wednesday,Paltan,Night (8:00 PM – 11:00 PM),165,Cloudy,Flyover,Medium
1/3/2024,Wednesday,Paltan,Late Night (11:00 PM – 5:00 AM),431,Sunny,Residential Street,Medium
1/3/2024,Wednesday,Malibagh,Early Morning (5:00 AM – 7:30 AM),323,Sunny,Commercial Street,Medium
1/3/2024,Wednesday,Malibagh,Morning Rush (7:30 AM – 10:30 AM),473,Cloudy,Flyover,Low
1/3/2024,Wednesday,Malibagh,Midday (10:30 AM – 2:00 PM),208,Sunny,Entry Point,Medium
1/3/2024,Wednesday,Malibagh,Afternoon (2:00 PM – 4:30 PM),462,Sunny,Highway,Medium
1/3/2024,Wednesday,Malibagh,Evening Rush (4:30 PM – 8:00 PM),148,Sunny,Entry Point,Medium
1/3/2024,Wednesday,Malibagh,Night (8:00 PM – 11:00 PM),160,Sunny,Highway,Low
1/3/2024,Wednesday,Malibagh,Late Night (11:00 PM – 5:00 AM),444,Rainy,Residential Street,Medium
1/3/2024,Wednesday,Keraniganj,Early Morning (5:00 AM – 7:30 AM),169,Rainy,Residential Street,Medium
1/3/2024,Wednesday,Keraniganj,Morning Rush (7:30 AM – 10:30 AM),223,Cloudy,Residential Street,Low
1/3/2024,Wednesday,Keraniganj,Midday (10:30 AM – 2:00 PM),277,Rainy,Highway,Low
1/3/2024,Wednesday,Keraniganj,Afternoon (2:00 PM – 4:30 PM),190,Rainy,Flyover,High
1/3/2024,Wednesday,Keraniganj,Evening Rush (4:30 PM – 8:00 PM),236,Rainy,Entry Point,Low
